Product ID,Category,Name,Brand,Price/RS,Expiry Date,Supplier,supplier ph No:,supplier Email:,Stock Quantity,Block Name,Rack No,Session,Discount%
P001,Vegetables,Brinjal Fresh Farm,Fresh Farm,164,24-01-2027,Own Farm,9855091008,abctraders@suppliermail.com,178,A,1,Fresh Products,10
P002,Vegetables,Brinjal Fresh Farm,Fresh Farm,181,22-01-2027,Own Farm,9892238539,novasuppliers@suppliermail.com,285,A,1,Fresh Products,10
P003,Vegetables,Carrot Fresh Farm,Fresh Farm,934,16-08-2027,Own Farm,9891117870,greenfarms@suppliermail.com,74,A,1,Fresh Products,10
P004,Vegetables,Tomato Fresh Farm,Fresh Farm,54,06-04-2027,Own Farm,9877116835,citywholesale@suppliermail.com,91,A,1,Fresh Products,10
P005,Vegetables,Beans Fresh Farm,Fresh Farm,942,28-03-2027,Own Farm,9844259721,novasuppliers@suppliermail.com,123,A,1,Fresh Products,10
P006,Vegetables,Cabbage Fresh Farm,Fresh Farm,816,17-12-2027,Own Farm,9821856203,abctraders@suppliermail.com,233,A,1,Fresh Products,10
P007,Vegetables,Ladies Finger Fresh Farm,Fresh Farm,551,13-08-2027,Own Farm,9849584458,citywholesale@suppliermail.com,58,A,1,Fresh Products,10
P008,Vegetables,Beetroot Fresh Farm,Fresh Farm,434,14-05-2027,Own Farm,9899230313,freshfoods@suppliermail.com,396,A,1,Fresh Products,10
P009,Vegetables,Carrot Fresh Farm,Fresh Farm,667,13-07-2027,Own Farm,9854912522,citywholesale@suppliermail.com,166,A,1,Fresh Products,10
P010,Vegetables,Carrot Fresh Farm,Fresh Farm,932,08-04-2027,Own Farm,9885228669,southagro@suppliermail.com,230,A,1,Fresh Products,10
P011,Vegetables,Ladies Finger Fresh Farm,Fresh Farm,952,22-04-2027,Own Farm,9833756816,greenfarms@suppliermail.com,186,A,1,Fresh Products,10
P012,Vegetables,Potato Fresh Farm,Fresh Farm,545,08-04-2027,Own Farm,9878418026,greenfarms@suppliermail.com,281,A,1,Fresh Products,10
P013,Fruits,Pineapple Fresh Farm,Fresh Farm,487,25-08-2027,Own Farm,9830488693,greenfarms@suppliermail.com,484,A,2,Fresh Products,10
P014,Fruits,Pear Fresh Farm,Fresh Farm,761,04-02-2027,Own Farm,9830728329,novasuppliers@suppliermail.com,48,A,2,Fresh Products,10
P015,Fruits,Kiwi Fresh Farm,Fresh Farm,151,25-04-2027,Own Farm,9856119724,novasuppliers@suppliermail.com,44,A,2,Fresh Products,10
P016,Fruits,Grapes Fresh Farm,Fresh Farm,540,25-08-2027,Own Farm,9815901047,southagro@suppliermail.com,132,A,2,Fresh Products,10
P017,Fruits,Pear Fresh Farm,Fresh Farm,820,01-10-2027,Own Farm,9847185240,citywholesale@suppliermail.com,244,A,2,Fresh Products,10
P018,Fruits,Grapes Fresh Farm,Fresh Farm,122,22-06-2027,Own Farm,9817221708,abctraders@suppliermail.com,413,A,2,Fresh Products,10
P019,Fruits,Guava Fresh Farm,Fresh Farm,312,14-05-2027,Own Farm,9853771950,novasuppliers@suppliermail.com,134,A,2,Fresh Products,10
P020,Fruits,Papaya Fresh Farm,Fresh Farm,758,24-09-2027,Own Farm,9848595929,greenfarms@suppliermail.com,395,A,2,Fresh Products,10
P021,Fruits,Kiwi Fresh Farm,Fresh Farm,950,13-11-2027,Own Farm,9821999178,novasuppliers@suppliermail.com,286,A,2,Fresh Products,10
P022,Fruits,Apple Fresh Farm,Fresh Farm,692,14-02-2027,Own Farm,9838823800,greenfarms@suppliermail.com,387,A,2,Fresh Products,10
P023,Fruits,Orange Fresh Farm,Fresh Farm,141,09-12-2027,Own Farm,9845092872,greenfarms@suppliermail.com,263,A,2,Fresh Products,10
P024,Atta,Whole Wheat Atta Aashirvaad,Aashirvaad,430,27-01-2027,City Wholesale,9849225871,citywholesale@suppliermail.com,203,A,3,Flours & Grains,10
P025,Atta,Whole Wheat Atta Aashirvaad,Aashirvaad,574,11-06-2027,Fresh Foods,9815138082,freshfoods@suppliermail.com,112,A,3,Flours & Grains,10
P026,Atta,Ragi Flour Premium,Premium,479,21-06-2027,Fresh Foods,9878583943,freshfoods@suppliermail.com,118,A,3,Flours & Grains,10
P027,Atta,Whole Wheat Atta Amul,Amul,746,03-05-2027,City Wholesale,9829916428,citywholesale@suppliermail.com,143,A,3,Flours & Grains,10
P028,Atta,Maida Aashirvaad,Aashirvaad,547,15-09-2027,Nova Suppliers,9869781006,novasuppliers@suppliermail.com,21,A,3,Flours & Grains,10
P029,Atta,Maida Amul,Amul,621,18-08-2027,Green Farms,9815924562,greenfarms@suppliermail.com,246,A,3,Flours & Grains,10
P030,Dal,Toor Dal Premium,Premium,420,14-02-2027,South Agro,9835889516,southagro@suppliermail.com,439,A,3,Flours & Grains,10
P031,Dal,Moong Dal Premium,Premium,567,02-06-2027,Nova Suppliers,9886149585,novasuppliers@suppliermail.com,368,A,3,Flours & Grains,10
P032,Dal,Toor Dal Aashirvaad,Aashirvaad,999,11-04-2027,Nova Suppliers,9882205703,novasuppliers@suppliermail.com,113,A,3,Flours & Grains,10
P033,Dal,Urad Dal SmartBuy,SmartBuy,158,25-06-2027,Fresh Foods,9873001215,freshfoods@suppliermail.com,303,A,3,Flours & Grains,10
P034,Dal,Masoor Dal Naga,Naga,660,12-01-2027,Fresh Foods,9828863207,freshfoods@suppliermail.com,47,A,3,Flours & Grains,10
P035,Dal,Urad Dal Fresh Farm,Fresh Farm,133,20-11-2027,Green Farms,9825186499,greenfarms@suppliermail.com,238,A,3,Flours & Grains,10
P036,Dal,Masoor Dal Aashirvaad,Aashirvaad,743,21-08-2027,Fresh Foods,9819966120,freshfoods@suppliermail.com,348,A,3,Flours & Grains,10
P037,Rice,Sona Masoori Classic,Classic,213,14-09-2027,City Wholesale,9843800816,citywholesale@suppliermail.com,323,B,4,Rice,10
P038,Rice,Brown Rice Daily Choice,Daily Choice,850,12-09-2027,ABC Traders,9849908980,abctraders@suppliermail.com,351,B,4,Rice,10
P039,Rice,Basmati Rice Royal,Royal,990,23-12-2027,Green Farms,9846628045,greenfarms@suppliermail.com,364,B,4,Rice,10
P040,Rice,Sona Masoori Amul,Amul,197,09-04-2027,ABC Traders,9880772916,abctraders@suppliermail.com,334,B,4,Rice,10
